"","flipAtLeastOneValue","probMutation","sequenceLength","nEvals","useShiftBuffer","useMutationTransducer","repeatProb","discountFactor","truefitness","truefitnessError","patterns"
"1",1,3,2,4,0,0,0,2,179.63,2.8932053804971,480
"2",0,2,3,3,1,1,2,2,169.91,3.08486350237459,480
"3",1,2,2,4,1,1,4,3,183.69,2.75540588954906,480
"4",1,1,2,4,1,0,4,2,180.13,2.85938663338694,480
"5",0,5,2,4,1,0,0,2,213.82,2.36879460460122,480
"6",1,4,3,4,1,0,2,3,193.81,2.527413138313,480
"7",1,4,2,3,1,0,4,0,185.13,2.7362384782948,480
"8",1,4,2,4,1,1,1,3,198.93,2.88627035560714,480
"9",0,3,3,3,1,0,4,3,260.32,2.0579915677498,480
"10",1,5,2,4,1,0,5,2,215.89,2.48575314278564,480
"11",1,3,3,3,1,0,1,3,180.57,2.91063029030977,480
"12",1,5,3,4,1,0,1,2,214.18,2.24663069839025,480
"13",0,4,1,3,1,1,0,3,170.57,3.23101306938636,480
"14",1,4,1,4,1,0,1,3,186.69,3.02213032762846,480
"15",1,3,4,4,1,0,2,3,181.35,2.64725415203273,480
"16",1,2,2,4,0,0,2,3,201.15,2.47428695983226,480
"17",0,4,2,4,1,0,0,2,209.48,2.588532597844,480
"18",0,2,2,3,1,1,4,0,175.53,2.89926688748182,480
"19",0,5,3,4,1,0,2,2,240.62,2.14635137906732,480
"20",1,5,3,4,1,1,1,3,207,2.64040094904489,480
"21",1,2,3,4,1,0,0,3,278.29,1.7190727474749,480
"22",1,4,2,4,0,0,5,3,200.33,2.4776192140232,480
"23",1,5,2,4,1,0,4,1,201.11,2.75958915841331,480
"24",0,5,1,3,1,1,5,3,175.38,2.77058065605699,480
"25",0,5,1,3,1,1,2,3,162.24,2.96580239368435,480
"26",0,2,2,3,1,0,2,0,164.96,2.95508190934009,480
"27",1,3,3,4,1,0,0,2,223.28,2.20188532623727,480
"28",0,2,2,4,1,0,1,3,213.17,2.03921429709949,480
"29",0,2,3,4,1,0,3,3,208.66,2.61260425822608,480
"30",0,5,2,4,1,0,5,3,196.63,2.84745695509364,480
"31",0,3,2,4,1,1,2,2,189.4,2.40243983727318,480
"32",1,5,4,4,1,0,1,2,221.61,2.20040836430354,480
"33",0,1,2,4,1,1,5,0,179.22,2.82651872111403,480
"34",1,2,2,4,1,0,2,2,212.89,2.53906429118041,480
"35",0,4,3,3,1,1,3,3,195.73,2.63257967734612,480
"36",0,2,4,4,1,0,0,3,228.49,2.03551770398401,480
"37",1,4,2,4,1,0,1,2,203.53,2.83268994477552,480
"38",1,5,2,4,1,0,2,3,220.36,2.5129370316927,480
"39",0,5,2,4,1,0,0,2,194.13,2.64573813954259,480
"40",0,5,2,4,1,0,2,3,210.98,2.64746801089019,480
"41",0,4,4,2,1,0,3,3,246.52,2.10945346935976,480
"42",1,5,3,4,1,1,3,2,215.28,2.50635878186551,480
"43",1,3,4,4,1,0,1,2,238.45,2.15867406927812,480
"44",1,5,2,4,1,0,5,1,183.24,2.73282035097572,480
"45",1,5,2,3,1,1,3,3,189.73,2.66798660514863,480
"46",1,4,2,4,0,0,3,3,191.49,2.79203394237132,480
"47",0,3,3,2,0,0,0,3,135.1,2.80304668299882,480
"48",1,5,3,3,1,0,2,2,175.21,2.84279329839046,480
"49",1,3,4,3,1,0,3,2,230.28,2.40819644153257,480
"50",1,5,4,2,1,0,4,2,195.8,2.76365297708988,480
"51",0,3,4,4,1,1,4,3,191.73,2.39540195062343,480
"52",1,0,1,4,1,0,3,1,183.21,2.59160630349658,480
"53",0,0,2,4,1,1,0,0,178.87,2.90724122066806,480
"54",1,5,2,3,1,0,3,2,204.14,2.8301058266254,480
"55",0,5,3,4,1,0,4,2,208.01,2.66691267804614,480
"56",0,4,4,4,0,0,2,3,181.97,2.76158551297159,480
"57",1,4,2,4,0,0,0,0,197.81,2.29534861241713,480
"58",1,2,1,4,1,0,0,1,192.92,2.37000106550716,480
"59",0,2,3,4,0,0,0,2,188.22,2.93971688322794,480
"60",1,1,3,4,1,1,0,1,179.38,2.67229633026872,480
"61",0,2,1,4,0,0,2,3,173.43,2.76154162040193,480
"62",1,3,2,4,1,0,4,3,208.17,2.3922456800963,480
"63",1,4,1,4,1,0,3,1,180.78,2.70680325077089,480
"64",1,5,3,4,1,1,5,2,217.2,2.69196334794266,480
"65",0,3,2,4,1,0,2,2,213.87,2.59862648257874,480
"66",1,1,2,4,1,0,2,1,173.55,2.7772297439184,480
"67",1,3,1,4,1,0,0,0,172.33,2.47149629564641,480
"68",1,1,3,2,1,0,3,1,156.78,3.04055351154451,480
"69",0,4,2,4,1,0,3,3,198.85,2.69329039119682,480
"70",0,5,2,4,1,1,2,0,196.4,2.36173194452245,480
"71",1,1,3,4,1,0,4,3,218.59,2.42470845899276,480
"72",0,5,3,4,1,0,2,3,210.34,2.46782200625276,480
"73",1,4,3,4,1,1,5,3,213.79,2.56512330615071,480
"74",0,3,2,4,1,1,3,3,177.07,3.12782413802053,480
"75",1,5,1,4,1,1,0,0,170.5,2.71871553153583,480
"76",1,3,2,4,1,0,3,1,195.58,2.44152543805025,480
"77",1,3,2,4,1,0,1,3,212.61,2.87257653676903,480
"78",1,1,2,4,0,0,1,0,167.24,3.21546515478183,480
"79",1,2,3,4,1,0,1,3,226.81,2.19879190888675,480
"80",1,0,4,4,1,0,1,2,209.98,2.33354890779056,480
"81",1,1,2,4,1,0,0,2,206.17,2.61626825764478,480
"82",1,4,2,4,1,0,0,3,209.1,2.55748061003541,480
"83",0,3,3,4,1,0,3,2,208.42,2.60819144739466,480
"84",1,5,3,4,1,1,0,2,231.91,2.19200083867861,480
"85",0,5,1,4,1,0,2,1,186.5,2.63275789646791,480
"86",1,2,4,4,1,1,1,3,214.23,2.21440896645291,480
"87",1,5,2,4,1,0,5,3,210.78,2.41650804077105,480
"88",0,4,3,4,1,1,3,3,202.68,2.42723935966169,480
"89",1,2,1,4,1,0,1,3,177.42,2.70036211563479,480
"90",0,4,3,4,1,0,3,3,234.1,2.26945016257331,480
"91",1,5,1,4,0,0,2,3,184.5,2.57609445212372,480
"92",0,1,2,4,1,0,5,2,206.39,2.50900982521598,480
"93",0,4,2,4,1,0,0,1,195.57,2.6305606807199,480
"94",0,3,2,4,0,0,2,3,198.2,2.95713484045731,480
"95",0,5,3,4,1,0,3,3,224.97,2.42563976773722,480
"96",1,5,2,4,0,1,1,3,198.19,2.61018575909258,480
"97",0,2,2,4,1,0,1,0,194.77,2.68985580327724,480
"98",0,5,3,4,1,1,0,3,235.87,2.16877077319541,480
"99",1,3,2,4,1,0,1,1,207.12,2.40782730344854,480
"100",0,4,3,4,1,0,3,2,248.07,2.03887743921041,480
